family_id,area,noun,modifier,uom,price_min_sar,price_max_sar,lead_min_days,lead_max_days,profile,variant_weight,crit_bias,manufacturers,size_token_type,equipment_type,shutdown_demand_mult,mtbf_years,multi_store_share,in_scope,material_group
SM-ANODE-ASSY,SMELTER,ANODE ASSEMBLY,PREBAKED,EA,2400,4200,45,90,consumable,24,A,Rio Tinto Alcan|Dubal|Hencon,none,POT,6,,0.05,1,SMELT-CARBON
SM-ANODE-ROD,SMELTER,ROD,ANODE ALUMINIUM,EA,900,1800,60,120,occasional,31,B,Hencon|Rio Tinto Alcan,od_mm,ANODE_ROD_SHOP,5,,0.1,1,SMELT-CARBON
SM-ANODE-YOKE,SMELTER,YOKE,ANODE CAST IRON,EA,1400,2600,90,150,occasional,19,B,Hencon|Outotec,none,ANODE_ROD_SHOP,4,,0.05,1,SMELT-CARBON
SM-ANODE-STUB,SMELTER,STUB,ANODE STEEL,EA,300,700,60,110,occasional,33,B,Hencon|Outotec,od_mm,ANODE_ROD_SHOP,5,,0.1,1,SMELT-CARBON
SM-THIMBLE,SMELTER,THIMBLE,ANODE,EA,120,320,45,90,consumable,13,C,Hencon|generic,od_mm,ANODE_ROD_SHOP,3,,0.15,1,SMELT-CARBON
SM-CATHODE-BLK,SMELTER,BLOCK,CATHODE GRAPHITISED,EA,5200,9800,180,300,lumpy,26,A,SGL Carbon|Tokai COBEX,none,POT,20,9.0,0.0,1,SMELT-LINING
SM-COLLECTOR-BAR,SMELTER,BAR,CATHODE COLLECTOR,EA,800,1600,120,210,lumpy,29,A,Hencon|Outotec,od_mm,POT,18,9.0,0.0,1,SMELT-LINING
SM-SIDEWALL,SMELTER,BLOCK,SIDEWALL SILICON CARBIDE,EA,1100,2400,150,240,lumpy,32,A,Saint-Gobain|SGL Carbon,none,POT,16,8.0,0.0,1,SMELT-LINING
SM-RAMMING,SMELTER,PASTE,RAMMING CARBON,KG,18,42,60,120,consumable,6,B,SGL Carbon|Tokai COBEX,none,POT,15,,0.1,1,SMELT-LINING
SM-REFRACTORY,SMELTER,BRICK,REFRACTORY POTLINING,EA,45,140,90,180,consumable,21,B,Saint-Gobain|RHI Magnesita,od_mm,POT,10,,0.1,1,SMELT-LINING
